feature,importance,rank,selected
pokes_sob_sum_m7_p,0.0016496235,247,0
fase_elim_mean_m5_g,0.0016447613,248,0
wr_rep_4_m3_p,0.0016416024,249,0
pokes_venc_mean_m7_p,0.0016402334,250,0
wr_tier_Free For all Randoms_m9_p,0.0016360077,251,0
cat_ascenso_mean_m9_g,0.001629774,252,0
wr_rep_1_m24_p,0.0016289119,253,0
fase_grupos_mean_m15_p,0.0016275531,254,0
nb_diff_m1_vs_m3_p,0.0016257252,255,0
meses_activo_m24_g,0.0016225778,256,0
wr_tier_RANDOM DOUBLES_m7_g,0.0016225411,257,0
cat_liga_mean_m7_g,0.0016129263,258,0
liga_pss_sum_m36_p,0.0016105877,259,0
liga_pms_sum_m7_g,0.0016075107,260,0
nb_ratio_m3_vs_m5_p,0.00160207,261,0
pokes_venc_mean_m5_p,0.0016005385,262,0
cat_torneo_mean_m18_g,0.0015822407,263,0
fmt_dobles_mean_m9_g,0.0015813208,264,0
wr_ratio_m1_vs_m12_g,0.0015780575,265,0
fase_rondas_mean_m7_g,0.0015751956,266,0
rep_actual_mean_m15_p,0.0015751874,267,0
fmt_vgc_mean_m18_p,0.0015719014,268,0
wr_tier_NAT DEX_m18_g,0.0015712574,269,0
cat_cypher_mean_m36_g,0.001569977,270,0
cat_liga_sum_m7_p,0.0015670422,271,0
wr_tier_VGC_m9_g,0.0015575347,272,0
liga_pms_sum_m1_g,0.0015565802,273,0
fmt_singles_mean_m7_p,0.0015554851,274,0
wr_rep_2_m12_g,0.0015506772,275,0
fase_grupos_mean_m15_g,0.0015469049,276,0
fmt_dobles_sum_m9_p,0.0015430929,277,0
wr_tier_NAT DEX_m9_g,0.0015424234,278,0
wr_rep_2_m24_p,0.0015421076,279,0
wr_tier_OU_m15_g,0.0015347797,280,0
pokes_sob_mean_m3_p,0.0015347227,281,0
rep_actual_sum_m3_p,0.0015316778,282,0
fmt_singles_mean_m3_g,0.0015298536,283,0
pokes_sob_sum_m3_g,0.0015261169,284,0
wr_tier_DOBLES LC_m36_g,0.001525425,285,0
wr_tier_DOBLES LC_m7_g,0.0015221086,286,0
pokes_venc_mean_m3_g,0.0015204619,287,0
nb_diff_m24_vs_m36_g,0.0015195501,288,0
cat_ascenso_mean_m5_g,0.0015187579,289,0
fase_rondas_sum_m5_g,0.0015168289,290,0
wr_tier_VGC_m18_p,0.0015101116,291,0
cat_ascenso_mean_m36_g,0.0015089595,292,0
wr_tier_NAT DEX_m12_p,0.0015051182,293,0
wr_rep_2_m12_p,0.001504217,294,0
wr_rep_2_m9_p,0.001493786,295,0
liga_pls_mean_m3_g,0.0014916036,296,0
fase_elim_sum_m12_g,0.0014835618,297,0
cat_torneo_sum_m12_g,0.0014835453,298,0
liga_pjs_sum_m5_g,0.001482466,299,0
wr_tier_NAT DEX DOBLES_m5_g,0.001477284,300,0
wr_tier_NAT DEX_m1_p,0.0014764561,301,0
wr_rep_4_m7_g,0.001474963,302,0
wr_tier_Free For all Randoms_m12_p,0.0014714816,303,0
wr_rep_3_m7_g,0.0014691305,304,0
wr_rep_4_m36_p,0.0014640263,305,0
pokes_sob_sum_m15_g,0.0014628551,306,0
wr_ratio_m1_vs_m12_p,0.0014626362,307,0
fmt_singles_sum_m3_p,0.0014623024,308,0
fase_grupos_sum_m24_p,0.0014582955,309,0
pokes_venc_sum_m1_g,0.0014578534,310,0
liga_pjs_sum_m18_g,0.0014563097,311,0
cat_liga_mean_m24_p,0.0014541259,312,0
liga_pes_mean_m18_p,0.0014513911,313,0
fmt_dobles_mean_m1_p,0.0014513332,314,0
wr_rep_2_m5_p,0.001450287,315,0
wr_rep_3_m1_g,0.0014481086,316,0
wr_rep_2_m3_g,0.0014474435,317,0
wr_tier_CHAMPIONS_m1_p,0.0014355059,318,0
wr_rep_4_m18_g,0.001429838,319,0
wr_rep_1_m7_g,0.0014292501,320,0
fase_rondas_sum_m36_g,0.0014287647,321,0
fmt_singles_mean_m1_g,0.0014253457,322,0
n_batallas_m24_g,0.0014149005,323,0
