player1;player2;winner;league;date;status;round;Formato_esp;replay;Tier;N_Torneo;Formato;Ligas_categoria;Fase_completo;pokemons Sob;pokemon vencidos;Walkover;Match_replays;Generaciones;aka_mundial;Aka_evento
LABIAMG;Jffmm;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO5
LABIAMG;O'Fenomenon't;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;6;6;0;-;9;Fuera_mundial;ASCENSO5
O'Fenomenon't;Angello77;O'Fenomenon't;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO5
O'Fenomenon't;Jffmm;O'Fenomenon't;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO5
Alonso26ca;O'Fenomenon't;Alonso26ca;ASCENSO;2023-01-01;Completed;Semifinal;VGC;Replay;VGC;5;VGC;No Posee Liga;Semifinal;3;6;0;-;9;Fuera_mundial;ASCENSO5
LABIAMG;Angello77;LABIAMG;ASCENSO;2023-01-01;Completed;Semifinal;VGC;Replay;VGC;5;VGC;No Posee Liga;Semifinal;3;6;0;-;9;Fuera_mundial;ASCENSO5
Alonso26ca;LABIAMG;Alonso26ca;ASCENSO;2023-01-01;Completed;Final;VGC;Replay;VGC;5;VGC;No Posee Liga;Final;4;6;0;-;9;Fuera_mundial;ASCENSO5
Alonso26ca;Angello77;Alonso26ca;ASCENSO;2023-02-01;Completed;Fase de grupos;OU;Replay;OU;6;SINGLES;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO6
Alonso26ca;Angello77;Alonso26ca;ASCENSO;2023-02-01;Completed;Fase de grupos;DOU;Replay;DOU;6;DOBLES;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO6
LABIAMG;Alonso26ca;LABIAMG;ASCENSO;2023-02-01;Completed;Fase de grupos;OU;Replay;OU;6;SINGLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO6
LABIAMG;Alonso26ca;LABIAMG;ASCENSO;2023-02-01;Completed;Fase de grupos;DOU;Replay;DOU;6;DOBLES;No Posee Liga;Fase de grupos;6;6;0;-;9;Fuera_mundial;ASCENSO6
Angello77;Alonso26ca;Angello77;ASCENSO;2023-02-01;Completed;Final;OU;Replay;OU;6;SINGLES;No Posee Liga;Final;3;6;0;-;9;Fuera_mundial;ASCENSO6
Alonso26ca;Angello77;Alonso26ca;ASCENSO;2023-02-01;Completed;Final;DOU;Replay;DOU;6;DOBLES;No Posee Liga;Final;1;6;0;-;9;Fuera_mundial;ASCENSO6
Angello77;Alonso26ca;Angello77;ASCENSO;2023-02-01;Completed;Final;VGC;Replay;VGC;6;VGC;No Posee Liga;Final;4;6;0;-;9;Fuera_mundial;ASCENSO6
Angello77;Bozagg;Angello77;ASCENSO;2023-03-01;Completed;Fase de grupos;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO7
Bozagg;LABIAMG;Bozagg;ASCENSO;2023-03-01;Completed;Fase de grupos;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Fase de grupos;3;6;0;-;9;Fuera_mundial;ASCENSO7
LABIAMG;Angello77;LABIAMG;ASCENSO;2023-03-01;Completed;Fase de grupos;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO7
LABIAMG;Ricomam;LABIAMG;ASCENSO;2023-03-01;Completed;Fase de grupos;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO7
Ricomam;Angello77;Ricomam;ASCENSO;2023-03-01;Completed;Fase de grupos;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Fase de grupos;3;6;0;-;9;Fuera_mundial;ASCENSO7
Ricomam;Bozagg;Ricomam;ASCENSO;2023-03-01;Completed;Fase de grupos;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO7
Bozagg;Ricomam;Bozagg;ASCENSO;2023-03-01;Completed;Semifinal;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Semifinal;3;6;0;-;9;Fuera_mundial;ASCENSO7
LABIAMG;Angello77;LABIAMG;ASCENSO;2023-03-01;Completed;Semifinal;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Semifinal;2;6;0;-;9;Fuera_mundial;ASCENSO7
Angello77;Bozagg;Angello77;ASCENSO;2023-03-01;Completed;Final;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Final;3;6;0;-;9;Fuera_mundial;ASCENSO7
Angello77;Bozagg;Angello77;ASCENSO;2023-03-01;Completed;Final;DOU;Replay;DOU;7;DOBLES;No Posee Liga;Final;6;6;0;-;9;Fuera_mundial;ASCENSO7
Alonso26ca;Nigga Chan;Alonso26ca;ASCENSO;2023-03-01;Completed;PlayOff;OU;Replay;OU;7;SINGLES;No Posee Liga;PlayOff;3;6;0;-;9;Fuera_mundial;ASCENSO7
Nigga Chan;Alonso26ca;Nigga Chan;ASCENSO;2023-03-01;Completed;PlayOff;DOU;Replay;DOU;7;DOBLES;No Posee Liga;PlayOff;3;6;0;-;9;Fuera_mundial;ASCENSO7
Nigga Chan;Alonso26ca;Nigga Chan;ASCENSO;2023-03-01;Completed;PlayOff;VGC;Replay;VGC;7;VGC;No Posee Liga;PlayOff;3;6;0;-;9;Fuera_mundial;ASCENSO7
Angello77;Roy Kasoy;Angello77;ASCENSO;2023-03-01;Completed;PlayOff;OU;Replay;OU;7;SINGLES;No Posee Liga;PlayOff;3;6;0;-;9;Fuera_mundial;ASCENSO7
Angello77;Roy Kasoy;Angello77;ASCENSO;2023-03-01;Completed;PlayOff;DOU;Replay;DOU;7;DOBLES;No Posee Liga;PlayOff;3;6;0;-;9;Fuera_mundial;ASCENSO7
Arnau;Elin beacil;Arnau;ASCENSO;2023-12-01;Completed;RONDA SUIZA 1;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 1;4;6;0;-;9;Fuera_mundial;ASCENSO8
Edenking;Dino agente;Edenking;ASCENSO;2023-12-01;Completed;RONDA SUIZA 1;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 1;5;6;0;-;9;Fuera_mundial;ASCENSO8
Kazaheta;Gold;Kazaheta;ASCENSO;2023-12-01;Completed;RONDA SUIZA 1;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 1;6;6;1;-;9;Fuera_mundial;ASCENSO8
